section,half,round_no,battle_no,round,date,team_tag,player_name,class,result,point,opponent_team_tag,opponent_name,opponent_class
1,前半,1,1,2026-07-11,2026-09-02,CR,ふえた,ロイヤル,WIN,1,ZETA,CQCQ,ウィッチ
1,前半,1,1,2026-07-11,2026-09-02,ZETA,CQCQ,ウィッチ,LOSE,0,CR,ふえた,ロイヤル
1,前半,1,2,2026-07-11,2026-09-02,CR,Atom,ビショップ,WIN,1,ZETA,ねぎま,エルフ
1,前半,1,2,2026-07-11,2026-09-02,ZETA,ねぎま,エルフ,LOSE,0,CR,Atom,ビショップ
1,前半,1,3,2026-07-11,2026-09-02,CR,Winter,エルフ,LOSE,0,ZETA,ヘイム,ビショップ
1,前半,1,3,2026-07-11,2026-09-02,ZETA,ヘイム,ビショップ,WIN,1,CR,Winter,エルフ
1,前半,2,1,2026-07-11,2026-09-02,DFM,かなで,ロイヤル,LOSE,0,VRL,まっつ,ネメシス
1,前半,2,1,2026-07-11,2026-09-02,VRL,まっつ,ネメシス,WIN,1,DFM,かなで,ロイヤル
1,前半,2,2,2026-07-11,2026-09-02,DFM,ユーリ,エルフ,WIN,1,VRL,Terarina,ナイトメア
1,前半,2,2,2026-07-11,2026-09-02,VRL,Terarina,ナイトメア,LOSE,0,DFM,ユーリ,エルフ
1,前半,2,3,2026-07-11,2026-09-02,DFM,ミル,ネメシス,WIN,1,VRL,Mishadow51,ドラゴン
1,前半,2,3,2026-07-11,2026-09-02,VRL,Mishadow51,ドラゴン,LOSE,0,DFM,ミル,ネメシス
1,後半,1,1,2026-07-12,2026-09-02,LVH,だーよね,ナイトメア,WIN,1,RDL,ぱんさく,ビショップ
1,後半,1,1,2026-07-12,2026-09-02,RDL,ぱんさく,ビショップ,LOSE,0,LVH,だーよね,ナイトメア
1,後半,1,2,2026-07-12,2026-09-02,LVH,rikka,ウィッチ,WIN,1,RDL,山田レクイエム,ウィッチ
1,後半,1,2,2026-07-12,2026-09-02,RDL,山田レクイエム,ウィッチ,LOSE,0,LVH,rikka,ウィッチ
1,後半,1,3,2026-07-12,2026-09-02,LVH,Era53,ロイヤル,WIN,1,RDL,折り紙,エルフ
1,後半,1,3,2026-07-12,2026-09-02,RDL,折り紙,エルフ,LOSE,0,LVH,Era53,ロイヤル
1,後半,2,1,2026-07-12,2026-09-02,MRG,Toby,ビショップ,LOSE,0,RC,拓海,ビショップ
1,後半,2,1,2026-07-12,2026-09-02,RC,拓海,ビショップ,WIN,1,MRG,Toby,ビショップ
1,後半,2,2,2026-07-12,2026-09-02,MRG,Spicies,ロイヤル,WIN,1,RC,たばた,ロイヤル
1,後半,2,2,2026-07-12,2026-09-02,RC,たばた,ロイヤル,LOSE,0,MRG,Spicies,ロイヤル
1,後半,2,3,2026-07-12,2026-09-02,MRG,マイト,ネメシス,LOSE,0,RC,ぱらちゃん,ウィッチ
1,後半,2,3,2026-07-12,2026-09-02,RC,ぱらちゃん,ウィッチ,WIN,1,MRG,マイト,ネメシス
2,前半,1,1,2026-07-15,2026-09-02,CR,空白,ドラゴン,WIN,1,VRL,monakawan,ネメシス
2,前半,1,1,2026-07-15,2026-09-02,VRL,monakawan,ネメシス,LOSE,0,CR,空白,ドラゴン
2,前半,1,2,2026-07-15,2026-09-02,CR,ふえた,ネメシス,WIN,1,VRL,Mishadow51,ドラゴン
2,前半,1,2,2026-07-15,2026-09-02,VRL,Mishadow51,ドラゴン,LOSE,0,CR,ふえた,ネメシス
2,前半,1,3,2026-07-15,2026-09-02,CR,Atom,ウィッチ,WIN,1,VRL,Terarina,ウィッチ
2,前半,1,3,2026-07-15,2026-09-02,VRL,Terarina,ウィッチ,LOSE,0,CR,Atom,ウィッチ
2,前半,2,1,2026-07-15,2026-09-02,LVH,だーよね,ネメシス,WIN,1,ZETA,ねぎま,ドラゴン
2,前半,2,1,2026-07-15,2026-09-02,ZETA,ねぎま,ドラゴン,LOSE,0,LVH,だーよね,ネメシス
2,前半,2,2,2026-07-15,2026-09-02,LVH,Era53,ドラゴン,LOSE,0,ZETA,ヘイム,ロイヤル
2,前半,2,2,2026-07-15,2026-09-02,ZETA,ヘイム,ロイヤル,WIN,1,LVH,Era53,ドラゴン
2,前半,2,3,2026-07-15,2026-09-02,LVH,rikka,ウィッチ,WIN,1,ZETA,CQCQ,エルフ
2,前半,2,3,2026-07-15,2026-09-02,ZETA,CQCQ,エルフ,LOSE,0,LVH,rikka,ウィッチ
2,後半,1,1,2026-07-22,2026-09-02,DFM,ユーリ,ナイトメア,WIN,1,RC,拓海,ウィッチ
2,後半,1,1,2026-07-22,2026-09-02,RC,拓海,ウィッチ,LOSE,0,DFM,ユーリ,ナイトメア
2,後半,1,2,2026-07-22,2026-09-02,DFM,ミル,ドラゴン,WIN,1,RC,あぐのむ,ネメシス
2,後半,1,2,2026-07-22,2026-09-02,RC,あぐのむ,ネメシス,LOSE,0,DFM,ミル,ドラゴン
2,後半,1,3,2026-07-22,2026-09-02,DFM,かなで,ウィッチ,LOSE,0,RC,たばた,ドラゴン
2,後半,1,3,2026-07-22,2026-09-02,RC,たばた,ドラゴン,WIN,1,DFM,かなで,ウィッチ
2,後半,2,1,2026-07-22,2026-09-02,MRG,Toby,ビショップ,WIN,1,RDL,折り紙,ドラゴン
2,後半,2,1,2026-07-22,2026-09-02,RDL,折り紙,ドラゴン,LOSE,0,MRG,Toby,ビショップ
2,後半,2,2,2026-07-22,2026-09-02,MRG,Spicies,ネメシス,WIN,1,RDL,Chappy,ナイトメア
2,後半,2,2,2026-07-22,2026-09-02,RDL,Chappy,ナイトメア,LOSE,0,MRG,Spicies,ネメシス
2,後半,2,3,2026-07-22,2026-09-02,MRG,glory,ドラゴン,WIN,1,RDL,山田レクイエム,ビショップ
2,後半,2,3,2026-07-22,2026-09-02,RDL,山田レクイエム,ビショップ,LOSE,0,MRG,glory,ドラゴン
3,,1,1,2026-08-01,2026-09-02,DFM,ユーリ,ネメシス,WIN,1,RDL,Stylish_deko,ビショップ
3,,1,1,2026-08-01,2026-09-02,RDL,Stylish_deko,ビショップ,LOSE,0,DFM,ユーリ,ネメシス
3,,1,2,2026-08-01,2026-09-02,DFM,ミル,ドラゴン,WIN,1,RDL,山田レクイエム,ウィッチ
3,,1,2,2026-08-01,2026-09-02,RDL,山田レクイエム,ウィッチ,LOSE,0,DFM,ミル,ドラゴン
3,,1,3,2026-08-01,2026-09-02,DFM,かなで,ウィッチ,WIN,1,RDL,折り紙,ドラゴン
3,,1,3,2026-08-01,2026-09-02,RDL,折り紙,ドラゴン,LOSE,0,DFM,かなで,ウィッチ
3,,2,1,2026-08-01,2026-09-02,RC,たばた,ロイヤル,WIN,1,VRL,Terarina,ドラゴン
3,,2,1,2026-08-01,2026-09-02,VRL,Terarina,ドラゴン,LOSE,0,RC,たばた,ロイヤル
3,,2,2,2026-08-01,2026-09-02,RC,拓海,ネメシス,WIN,1,VRL,まっつ,ウィッチ
3,,2,2,2026-08-01,2026-09-02,VRL,まっつ,ウィッチ,LOSE,0,RC,拓海,ネメシス
3,,2,3,2026-08-01,2026-09-02,RC,つきあかめん,ウィッチ,WIN,1,VRL,monakawan,ロイヤル
3,,2,3,2026-08-01,2026-09-02,VRL,monakawan,ロイヤル,LOSE,0,RC,つきあかめん,ウィッチ
3,,3,1,2026-08-01,2026-09-02,MRG,マイト,ネメシス,WIN,1,ZETA,TBT,ドラゴン
3,,3,1,2026-08-01,2026-09-02,ZETA,TBT,ドラゴン,LOSE,0,MRG,マイト,ネメシス
3,,3,2,2026-08-01,2026-09-02,MRG,glory,ロイヤル,WIN,1,ZETA,ヘイム,ウィッチ
3,,3,2,2026-08-01,2026-09-02,ZETA,ヘイム,ウィッチ,LOSE,0,MRG,glory,ロイヤル
3,,3,3,2026-08-01,2026-09-02,MRG,Toby,ビショップ,WIN,1,ZETA,CQCQ,ネメシス
3,,3,3,2026-08-01,2026-09-02,ZETA,CQCQ,ネメシス,LOSE,0,MRG,Toby,ビショップ
3,,4,1,2026-08-01,2026-09-02,CR,ふえた,ウィッチ,WIN,1,LVH,だーよね,ネメシス
3,,4,1,2026-08-01,2026-09-02,LVH,だーよね,ネメシス,LOSE,0,CR,ふえた,ウィッチ
3,,4,2,2026-08-01,2026-09-02,CR,Atom,ビショップ,LOSE,0,LVH,rikka,ウィッチ
3,,4,2,2026-08-01,2026-09-02,LVH,rikka,ウィッチ,WIN,1,CR,Atom,ビショップ
3,,4,3,2026-08-01,2026-09-02,CR,空白,ロイヤル,LOSE,0,LVH,Era53,ロイヤル
3,,4,3,2026-08-01,2026-09-02,LVH,Era53,ロイヤル,WIN,1,CR,空白,ロイヤル
4,前半,1,1,2026-08-05,2026-09-02,CR,Atom,エルフ,WIN,1,RC,たばた,ドラゴン
4,前半,1,1,2026-08-05,2026-09-02,RC,たばた,ドラゴン,LOSE,0,CR,Atom,エルフ
4,前半,1,2,2026-08-05,2026-09-02,CR,ふぇぐ,ドラゴン,WIN,1,RC,あぐのむ,ネメシス
