section,half,date,weekday,time,round_no,team1,team2,score1,score2
1,前半戦,2026-07-11,SAT,13:00,1,CR,ZETA,3,1
1,前半戦,2026-07-11,SAT,13:00,2,DFM,VRL,3,1
1,後半戦,2026-07-12,SUN,13:00,1,RDL,LVH,1,3
1,後半戦,2026-07-12,SUN,13:00,2,MRG,RC,2,3
2,前半戦,2026-07-15,WED,18:30,1,CR,VRL,4,0
2,前半戦,2026-07-15,WED,18:30,2,ZETA,LVH,2,3
2,後半戦,2026-07-22,WED,17:30,1,DFM,RC,3,2
2,後半戦,2026-07-22,WED,17:30,2,RDL,MRG,1,3
3,,2026-08-01,SAT,12:30,1,DFM,RDL,4,0
3,,2026-08-01,SAT,12:30,2,VRL,RC,0,4
3,,2026-08-01,SAT,12:30,3,ZETA,MRG,1,3
3,,2026-08-01,SAT,12:30,4,CR,LVH,1,3
4,前半戦,2026-08-05,WED,17:30,1,CR,RC,3,1
4,前半戦,2026-08-05,WED,17:30,2,LVH,MRG,3,2
4,後半戦,2026-08-12,WED,17:30,1,VRL,RDL,1,3
4,後半戦,2026-08-12,WED,17:30,2,ZETA,DFM,3,1
5,前半戦,2026-08-19,WED,17:30,1,CR,MRG,1,3
5,前半戦,2026-08-19,WED,17:30,2,RC,RDL,2,3
5,後半戦,2026-08-26,WED,17:30,1,LVH,DFM,2,3
5,後半戦,2026-08-26,WED,17:30,2,VRL,ZETA,3,1
6,,2026-08-30,SUN,12:30,1,CR,RDL,3,1
6,,2026-08-30,SUN,12:30,2,MRG,DFM,2,3
6,,2026-08-30,SUN,12:30,3,RC,ZETA,1,3
6,,2026-08-30,SUN,12:30,4,LVH,VRL,4,0
7,前半戦,2026-09-02,WED,17:30,1,CR,DFM,3,2
7,前半戦,2026-09-02,WED,17:30,2,RDL,ZETA,1,3
7,後半戦,2026-09-09,WED,17:30,1,MRG,VRL,,
7,後半戦,2026-09-09,WED,17:30,2,RC,LVH,,
8,前半戦,2026-09-23,WED,,1,RC,MRG,,
8,前半戦,2026-09-23,WED,,2,LVH,RDL,,
8,後半戦,2026-10-07,WED,,1,VRL,DFM,,
8,後半戦,2026-10-07,WED,,2,ZETA,CR,,
9,前半戦,2026-10-14,WED,,1,MRG,RDL,,
9,前半戦,2026-10-14,WED,,2,RC,DFM,,
9,後半戦,2026-10-21,WED,,1,LVH,ZETA,,
9,後半戦,2026-10-21,WED,,2,VRL,CR,,
10,,2026-11-01,SUN,,1,RDL,DFM,,
10,,2026-11-01,SUN,,2,MRG,ZETA,,
10,,2026-11-01,SUN,,3,RC,VRL,,
10,,2026-11-01,SUN,,4,LVH,CR,,
11,前半戦,2026-11-11,WED,,1,DFM,ZETA,,
11,前半戦,2026-11-11,WED,,2,RDL,VRL,,
11,後半戦,2026-11-18,WED,,1,MRG,LVH,,
11,後半戦,2026-11-18,WED,,2,RC,CR,,
12,前半戦,2026-12-27,SUN,,1,ZETA,VRL,,
12,前半戦,2026-12-27,SUN,,2,DFM,LVH,,
12,後半戦,2026-12-27,SUN,,1,RDL,RC,,
12,後半戦,2026-12-27,SUN,,2,MRG,CR,,
13,前半戦,2027-01-06,WED,,1,VRL,LVH,,
13,前半戦,2027-01-06,WED,,2,ZETA,RC,,
13,後半戦,2027-01-13,WED,,1,DFM,MRG,,
13,後半戦,2027-01-13,WED,,2,RDL,CR,,
14,,2027-01-24,SUN,,1,LVH,RC,,
14,,2027-01-24,SUN,,2,VRL,MRG,,
14,,2027-01-24,SUN,,3,ZETA,RDL,,
14,,2027-01-24,SUN,,4,DFM,CR,,
